id,name,company,type,category,fee,risk,performance_1m,performance_3m,performance_6m,performance_1y,sharpe_ratio,performance3m
1,PGIM保德信中小型股基金-TISA,保德信投信,股票型,台股,0.75%,RR4,2.5%,5.2%,8.1%,15.3%,0.68,
2,PGIM保德信金滿意基金-R,保德信投信,股票型,台股,1.14%,RR4,3.1%,6.8%,9.5%,18.2%,0.72,
3,PGIM保德信高成長基金-TISA,保德信投信,股票型,台股,0.75%,RR4,2.8%,7.1%,10.3%,19.8%,0.75,
4,PGIM保德信新世紀基金-R,保德信投信,股票型,台股,1.14%,RR4,2.3%,5.9%,8.7%,16.4%,0.69,
5,PGIM保德信金平衡基金-R,保德信投信,平衡型,多重資產,1.11%,RR3,1.8%,4.2%,6.5%,12.3%,0.58,
6,PGIM保德信策略成長ETF組合基金-R,保德信投信,股票型,全球股票,1.14%,RR4,3.2%,8.1%,11.5%,22.1%,0.78,
7,元大2001基金-R,元大投信,股票型,台股,0.89%,RR4,2.7%,6.3%,9.1%,17.5%,0.71,
8,元大台灣加權股價指數基金-R,元大投信,股票型,台股,0.6%,RR4,2.9%,6.8%,9.8%,18.3%,0.73,
9,元大台灣卓越50ETF連結基金-TISA,元大投信,股票型,台股ETF,0.095%,RR4,3.8%,8.5%,12.2%,25.8%,0.85,
10,元大台灣高股息ETF連結基金-TISA,元大投信,股票型,台股ETF,0.22%,RR4,2.1%,5.8%,8.9%,16.7%,0.69,
11,元大台灣高股息優質龍頭基金-R,元大投信,股票型,台股,1.11%,RR4,2.4%,6.1%,9.3%,17.8%,0.72,
12,元大全球ETF穩健組合基金-R,元大投信,資產配置型,多重資產,1.04%,RR3,2.8%,6.5%,9.2%,15.6%,0.67,
13,日盛MIT主流基金-R,日盛投信,股票型,台股,0.98%,RR4,2.6%,6.4%,9.7%,18.1%,0.74,
14,日盛上選基金-R,日盛投信,股票型,台股,0.95%,RR4,2.8%,6.9%,10.2%,19.3%,0.76,
15,日盛台灣永續成長股息基金-R,日盛投信,股票型,台股,0.92%,RR4,2.2%,5.7%,8.4%,15.9%,0.68,
16,日盛全球抗通膨基金-R,日盛投信,資產配置型,多重資產,1.15%,RR3,1.9%,4.8%,7.2%,13.5%,0.62,
17,統一大滿貫基金-TISA,統一投信,股票型,台股,0.75%,RR4,3.1%,7.8%,11.5%,21.2%,0.81,
18,統一台灣動力基金-TISA,統一投信,股票型,台股,0.65%,RR4,2.9%,7.2%,10.8%,20.4%,0.79,
19,統一奔騰基金-R,統一投信,股票型,台股,0.88%,RR4,2.7%,6.6%,9.9%,18.7%,0.75,
20,統一強棒貨幣市場基金-R,統一投信,貨幣型,貨幣市場,0.45%,RR1,0.1%,0.3%,0.6%,1.2%,0.15,
21,兆豐國民基金-TISA,兆豐投信,股票型,台股,0.67%,RR4,2.5%,6.1%,9.2%,17.8%,0.72,
22,兆豐萬全基金-R,兆豐投信,平衡型,多重資產,1.07%,RR3,2.1%,5.4%,8.1%,14.6%,0.65,
23,兆豐全球基金-R,兆豐投信,股票型,全球股票,1.12%,RR4,3.4%,8.7%,12.8%,23.5%,0.83,
24,安聯四季成長組合基金-TISA,安聯投信,資產配置型,多重資產,0.75%,RR3,5.81%,9.2%,13.1%,18.9%,0.76,
25,安聯四季回報債券組合基金-R,安聯投信,債券型,多重資產債券,0.92%,RR2,1.2%,2.8%,4.5%,7.8%,0.45,
26,安聯四季雙收入息組合基金-R,安聯投信,債券型,多重資產債券,1.14%,RR2,1.4%,3.1%,4.9%,8.5%,0.48,
27,安聯全球股票多元投資風格基金-R,安聯投信,股票型,全球股票,1.22%,RR4,3.8%,9.5%,14.2%,26.8%,0.88,
28,國泰小龍基金-R,國泰投信,股票型,台股,1.15%,RR5,3.2%,8.4%,12.7%,24.3%,0.84,
29,國泰台灣高股息基金-TISA,國泰投信,股票型,台股,0.71%,RR4,2.3%,5.9%,8.8%,16.5%,0.70,
30,國泰全球多重收益平衡基金-R,國泰投信,資產配置型,多重資產,1.25%,RR3,2.8%,6.1%,8.9%,14.7%,0.64,
31,國泰全球積極組合基金-R,國泰投信,資產配置型,多重資產,1.03%,RR4,3.5%,8.8%,12.9%,21.5%,0.79,
32,國泰泰享退2029目標日期組合基金-R,國泰投信,資產配置型,目標日期,0.67%,RR3,2.1%,4.8%,7.2%,12.5%,0.58,
33,國泰泰享退2039目標日期組合基金-R,國泰投信,資產配置型,目標日期,0.85%,RR3,2.8%,6.5%,9.8%,16.2%,0.68,
34,國泰泰享退2049目標日期組合基金-TISA,國泰投信,資產配置型,目標日期,0.73%,RR4,5.04%,8.1%,12.3%,19.8%,0.77,
35,國泰豐益債券組合基金-R,國泰投信,債券型,多重資產債券,1.04%,RR2,1.1%,2.6%,4.2%,7.3%,0.43,
36,中信科技趨勢多重資產基金-TISA,中信投信,資產配置型,科技多重資產,0.85%,RR4,5.07%,11.2%,16.8%,28.5%,0.92,
37,中信全球永續入息平衡基金-R,中信投信,平衡型,ESG多重資產,1.18%,RR3,2.6%,5.9%,8.7%,14.2%,0.63,
38,富邦全球投資等級債券基金-R,富邦投信,債券型,全球債券,0.75%,RR2,1.3%,3.2%,5.1%,8.9%,0.52,
39,富邦精銳中小基金-TISA,富邦投信,股票型,台股,0.75%,RR5,3.6%,9.8%,15.2%,28.7%,0.91,
40,富邦台灣摩根基金-R,富邦投信,股票型,台股,0.94%,RR4,2.8%,6.7%,10.1%,18.9%,0.75,
41,滙豐龍鳳基金-R,滙豐投信,股票型,台股,0.92%,RR4,2.7%,6.4%,9.6%,18.1%,0.73,
42,滙豐全球股票氣候變遷概念基金-R,滙豐投信,股票型,ESG全球股票,1.25%,RR4,4.1%,9.8%,14.5%,25.3%,0.86,
43,群益全民安穩樂退組合基金-R,群益投信,資產配置型,目標風險,0.74%,RR2,1.5%,3.8%,5.9%,10.2%,0.51,
44,群益全民成長樂退組合基金-R,群益投信,資產配置型,目標風險,0.94%,RR3,2.8%,6.8%,10.1%,16.5%,0.69,
45,群益全民成長樂退組合基金-TISA,群益投信,資產配置型,目標風險,0.64%,RR3,2.9%,7.1%,10.5%,17.2%,0.71,
46,群益全民優質樂退組合基金-R,群益投信,資產配置型,目標風險,0.84%,RR4,3.2%,7.9%,11.8%,19.6%,0.77,
47,群益馬拉松基金-TISA,群益投信,股票型,台股,0.64%,RR4,2.9%,7.3%,11.1%,20.8%,0.80,
48,台新1699貨幣市場基金-R,台新投信,貨幣型,貨幣市場,0.42%,RR1,0.1%,0.3%,0.6%,1.2%,0.18,
49,台新主流基金-R,台新投信,股票型,台股,0.89%,RR4,2.8%,6.9%,10.3%,19.2%,0.76,
50,台新中國通基金-R,台新投信,股票型,中國股票,1.15%,RR5,-1.2%,2.1%,3.8%,8.5%,0.28,
51,野村台灣高股息基金-R,野村投信,股票型,台股,0.88%,RR4,2.4%,6.2%,9.1%,17.3%,0.71,
52,野村全球高股息基金-R,野村投信,股票型,全球股票,1.08%,RR4,3.1%,7.8%,11.5%,20.2%,0.78,
53,野村多元收益多重資產基金-R,野村投信,資產配置型,多重資產,1.12%,RR3,2.6%,6.3%,9.4%,15.8%,0.68,
54,復華中小精選基金-R,復華投信,股票型,台股,0.92%,RR5,3.4%,9.1%,14.2%,26.8%,0.87,
55,復華傳統基金-R,復華投信,股票型,台股,0.88%,RR4,2.6%,6.5%,9.8%,18.5%,0.74,
56,第一金台灣貨幣市場基金-R,第一金投信,貨幣型,貨幣市場,0.38%,RR1,0.1%,0.3%,0.6%,1.2%,0.20,
57,第一金小型精選基金-R,第一金投信,股票型,台股,0.94%,RR5,3.2%,8.6%,13.4%,25.1%,0.85,
58,台中銀大發基金-TISA,台中銀投信,股票型,台股,0.72%,RR4,2.8%,6.9%,10.4%,19.6%,0.77,
59,台中銀萬保貨幣市場基金-R,台中銀投信,貨幣型,貨幣市場,0.45%,RR1,0.1%,0.3%,0.6%,1.2%,0.16,
60,新光台灣富貴基金-R,新光投信,股票型,台股,0.91%,RR4,2.7%,6.6%,9.9%,18.8%,0.75,
61,新光全球生技醫療基金-R,新光投信,股票型,產業主題,1.18%,RR4,2.1%,5.8%,8.9%,16.5%,0.69,
62,凱基台灣精五門基金-R,凱基投信,股票型,台股,0.95%,RR4,2.9%,7.1%,10.6%,19.8%,0.78,
63,凱基開創基金-R,凱基投信,股票型,台股,0.89%,RR4,2.6%,6.4%,9.7%,18.2%,0.73,
64,聯博多重資產傘型基金之聯博歐洲多重資產基金-R,聯博投信,資產配置型,歐洲多重資產,1.15%,RR4,3.8%,8.9%,12.6%,21.3%,0.79,
65,聯博收益傘型基金之聯博多元資產收益組合基金-R,聯博投信,資產配置型,收益型多重資產,1.08%,RR3,2.4%,5.7%,8.5%,14.2%,0.64,
66,聯博美國傘型基金之聯博美國多重資產收益基金-R,聯博投信,資產配置型,美國多重資產,1.12%,RR3,3.2%,7.6%,11.2%,18.9%,0.74,
67,瀚亞多重收益優化組合基金-R,瀚亞投信,資產配置型,收益型多重資產,1.09%,RR3,2.5%,,8.7%,14.6%,0.65,5.9%
68,瀚亞股債入息組合基金-R,瀚亞投信,資產配置型,股債組合,1.05%,RR3,2.8%,6.4%,9.3%,15.8%,0.68,
69,瀚亞理財通基金-R,瀚亞投信,資產配置型,多重資產,0.98%,RR3,2.6%,6.1%,9.0%,15.3%,0.66,
70,摩根台灣增長基金-R,摩根投信,股票型,台股,0.96%,RR4,2.9%,7.2%,10.8%,20.1%,0.78,
71,摩根全球平衡基金-R,摩根投信,平衡型,全球多重資產,1.14%,RR3,2.7%,6.3%,9.2%,15.6%,0.67,
72,施羅德台灣樂活基金-R,施羅德投信,股票型,台股,0.93%,RR4,2.8%,6.8%,10.2%,19.5%,0.77,
73,施羅德全球策略高收益債券基金-R,施羅德投信,債券型,高收益債券,1.21%,RR3,1.8%,4.2%,6.8%,11.5%,0.58,
74,德盛台灣大壩基金-R,德盛投信,股票型,台股,0.91%,RR4,2.7%,6.5%,9.8%,18.6%,0.74,
75,德盛全球高股息基金-R,德盛投信,股票型,全球股票,1.09%,RR4,3.0%,7.5%,11.0%,19.8%,0.76,
150,景順台灣科技基金-R,景順投信,股票型,台股科技,0.98%,RR5,4.2%,10.5%,16.8%,31.2%,0.95,
151,景順潛力基金-R,景順投信,股票型,台股,0.95%,RR4,2.9%,7.0%,10.5%,19.8%,0.78,
152,駿利亨德森平衡基金-R,駿利亨德森投信,平衡型,全球多重資產,1.16%,RR3,2.6%,6.2%,9.1%,15.4%,0.66,
153,駿利亨德森遠見基金-R,駿利亨德森投信,股票型,全球股票,1.18%,RR4,3.3%,8.1%,12.4%,22.7%,0.81,
154,路博邁投資等級債券基金-R,路博邁投信,債券型,投資等級債券,0.89%,RR2,1.4%,3.3%,5.4%,9.2%,0.54,
155,路博邁多重資產入息基金-R,路博邁投信,資產配置型,收益型多重資產,1.12%,RR3,2.7%,6.0%,8.8%,14.9%,0.65,
